Metric,Value
largest-contentful-paint,1775.2099999999998
speed-index,1534.8949234511592
total-blocking-time,635.9300000000001
cumulative-layout-shift,0
interactive,1893.2099999999998
transfer-size,143364
resource-size,143030
server-response-time,23.926000000000002
first-contentful-paint,755.77
largest-contentful-paint,1776.655
speed-index,1567.2754396155551
total-blocking-time,581.115
cumulative-layout-shift,0
interactive,1864.655
transfer-size,143364
resource-size,143030
server-response-time,35.01599999999999
first-contentful-paint,782.512
largest-contentful-paint,1812.768
speed-index,1588.4042984938515
total-blocking-time,580.7439999999999
cumulative-layout-shift,0
interactive,1914.7679999999998
transfer-size,143364
resource-size,143030
server-response-time,23.90599999999999
first-contentful-paint,758.1780000000001
largest-contentful-paint,1788.2670000000003
speed-index,1350.9227699831024
total-blocking-time,488.91100000000006
cumulative-layout-shift,0
interactive,1882.2670000000003
transfer-size,143364
resource-size,143030
server-response-time,25.387
first-contentful-paint,765.27
largest-contentful-paint,1793.905
speed-index,1330.7703807826306
total-blocking-time,521.365
cumulative-layout-shift,0
interactive,1887.905
transfer-size,143364
resource-size,143030
server-response-time,27.235999999999997
first-contentful-paint,755.5799999999999
largest-contentful-paint,1725.975
speed-index,1026.4777144473082
total-blocking-time,182.71000000000004
cumulative-layout-shift,0
interactive,1378.08
transfer-size,143364
resource-size,143030
server-response-time,28.84700000000001
first-contentful-paint,758.6979999999999
largest-contentful-paint,1741.8725
speed-index,1040.389861294641
total-blocking-time,227.65100000000007
cumulative-layout-shift,0
interactive,1774.8725
transfer-size,143364
resource-size,143030
server-response-time,29.022
first-contentful-paint,751.934
largest-contentful-paint,1721.4175
speed-index,1025.6509153409802
total-blocking-time,211.53300000000002
cumulative-layout-shift,0
interactive,1387.934
transfer-size,143364
resource-size,143030
server-response-time,24.04200000000001
first-contentful-paint,756.8520000000001
largest-contentful-paint,1728.565
speed-index,1031.4203639590205
total-blocking-time,222.57400000000007
cumulative-layout-shift,0
interactive,1779.565
transfer-size,143364
resource-size,143030
server-response-time,26.124999999999993
first-contentful-paint,758.924
largest-contentful-paint,1734.155
speed-index,1162.699736322202
total-blocking-time,232.038
cumulative-layout-shift,0
interactive,1408.924
transfer-size,143364
resource-size,143030
server-response-time,31.567000000000007
first-contentful-paint,782.3040000000001
largest-contentful-paint,1762.38
speed-index,1140.5946904076247
total-blocking-time,201.84799999999996
cumulative-layout-shift,0
interactive,1422.804
transfer-size,143364
resource-size,143030
server-response-time,25.664999999999992
first-contentful-paint,752.578
largest-contentful-paint,1728.2224999999999
speed-index,1039.9097386134254
total-blocking-time,220.211
cumulative-layout-shift,0
interactive,1396.078
transfer-size,143364
resource-size,143030
server-response-time,23.778999999999996
first-contentful-paint,759.7919999999999
largest-contentful-paint,1802.6879999999999
speed-index,1720.5801709305392
total-blocking-time,659.104
cumulative-layout-shift,0
interactive,1904.6879999999999
transfer-size,143364
resource-size,143030
server-response-time,25.497
first-contentful-paint,768.6779999999999
largest-contentful-paint,1743.3474999999999
speed-index,1064.2921013838402
total-blocking-time,196.16100000000006
cumulative-layout-shift,0
interactive,1401.6779999999999
transfer-size,143364
resource-size,143030
server-response-time,30.253
first-contentful-paint,757.3779999999999
largest-contentful-paint,1723.2224999999999
speed-index,1114.4983386550155
total-blocking-time,184.31099999999992
cumulative-layout-shift,0
interactive,1379.878
transfer-size,143364
resource-size,143030
server-response-time,29.272999999999996
first-contentful-paint,754.194
largest-contentful-paint,1725.2424999999998
speed-index,845.0254572887259
total-blocking-time,97.90300000000002
cumulative-layout-shift,0
interactive,1333.694
transfer-size,143364
resource-size,143030
server-response-time,24.293999999999997
first-contentful-paint,755.7760000000001
largest-contentful-paint,1726.2200000000003
speed-index,992.4100606015869
total-blocking-time,199.61199999999997
cumulative-layout-shift,0
interactive,1387.276
transfer-size,143364
resource-size,143030
server-response-time,29.636000000000003
first-contentful-paint,754.4960000000001
largest-contentful-paint,1724.6200000000001
speed-index,1027.0613952356264
total-blocking-time,199.75199999999995
cumulative-layout-shift,0
interactive,1384.996
transfer-size,143364
resource-size,143030
server-response-time,26.234999999999992
first-contentful-paint,810
largest-contentful-paint,1806
speed-index,1282.5994890708437
total-blocking-time,250.5
cumulative-layout-shift,0
interactive,1838.5
transfer-size,143364
resource-size,143030
server-response-time,24.055999999999997
first-contentful-paint,775.4100000000001
largest-contentful-paint,1759.1150000000002
speed-index,1202.6408550561237
total-blocking-time,281.2950000000001
cumulative-layout-shift,0
interactive,1451.9100000000003
transfer-size,143364
resource-size,143030
server-response-time,27.400999999999996
first-contentful-paint,759.2860000000001
largest-contentful-paint,1746.6075
speed-index,1074.9050145502526
total-blocking-time,266.85699999999997
cumulative-layout-shift,0
interactive,1777.1075
transfer-size,143364
resource-size,143030
server-response-time,32.769999999999996
first-contentful-paint,810
largest-contentful-paint,1807
speed-index,1135.2922747234925
total-blocking-time,244
cumulative-layout-shift,0
interactive,1844
transfer-size,143364
resource-size,143030
server-response-time,23.578999999999994
first-contentful-paint,752.934
largest-contentful-paint,1730.6675
speed-index,1069.2164507154998
total-blocking-time,242.03300000000013
cumulative-layout-shift,0
interactive,1406.9340000000002
transfer-size,143364
resource-size,143030
server-response-time,27.524
first-contentful-paint,751.9159999999999
largest-contentful-paint,1767.8739999999998
speed-index,1558.418149978777
total-blocking-time,635.0420000000001
cumulative-layout-shift,0
interactive,1859.874
transfer-size,143364
resource-size,143030
server-response-time,23.486000000000004
first-contentful-paint,760.404
largest-contentful-paint,1738.005
speed-index,963.1746872366576
total-blocking-time,133.298
cumulative-layout-shift,0
interactive,1363.904
transfer-size,143364
resource-size,143030
server-response-time,30.024
first-contentful-paint,765.7639999999999
largest-contentful-paint,1747.705
speed-index,1183.9373227630067
total-blocking-time,256.11799999999994
cumulative-layout-shift,0
interactive,1432.2639999999997
transfer-size,143364
resource-size,143030
server-response-time,31.083999999999996
first-contentful-paint,810
largest-contentful-paint,1805
speed-index,1014.4639120185446
total-blocking-time,188
cumulative-layout-shift,0
interactive,1837
transfer-size,143364
resource-size,143030
server-response-time,23.05299999999999
first-contentful-paint,764.4860000000001
largest-contentful-paint,1741.1075
speed-index,1255.86368303491
total-blocking-time,255.75700000000006
cumulative-layout-shift,0
interactive,1427.4860000000003
transfer-size,143364
resource-size,143030
server-response-time,34.147999999999996
first-contentful-paint,768.652
largest-contentful-paint,1751.315
speed-index,1091.1334332771924
total-blocking-time,228.67399999999998
cumulative-layout-shift,0
interactive,1422.152
transfer-size,143364
resource-size,143030
server-response-time,36.501999999999995
first-contentful-paint,753.7259999999999
largest-contentful-paint,1736.6574999999998
speed-index,1130.3291584850085
total-blocking-time,285.63699999999994
cumulative-layout-shift,0
interactive,1770.1574999999998
transfer-size,143364
resource-size,143030
server-response-time,23.07199999999999
first-contentful-paint,755.5740000000001
largest-contentful-paint,1732.9675000000002
speed-index,1053.24904380674
total-blocking-time,236.21299999999997
cumulative-layout-shift,0
interactive,1408.574
transfer-size,143364
resource-size,143030
server-response-time,23.554000000000002
first-contentful-paint,771.4659999999999
largest-contentful-paint,1755.8325
speed-index,1090.788885069386
total-blocking-time,262.26700000000005
cumulative-layout-shift,0
interactive,1441.466
transfer-size,143364
resource-size,143030
